1;a;u2;2016-04-15 08:41:28
1;b;u3;2016-04-18 12:55:01
2;a;u2;2016-04-18 20:40:14
1;d;u5;2016-04-19 07:22:59
2;b;u4;2016-04-21 22:42:39
1;e;u7;2016-04-23 15:06:58
2;d;u6;2016-04-24 01:29:27
1;f;u7;2016-04-24 19:18:32
1;g;u5;2016-04-25 14:56:42
2;g;u5;2016-04-25 22:36:27
1;h;u2;2016-04-26 10:00:36
3;a;u2;2016-04-27 01:45:07
2;e;u7;2016-04-27 16:12:28
3;b;u3;2016-04-27 21:50:32
2;f;u7;2016-04-28 15:00:35
3;d;u5;2016-04-29 00:12:15
3;g;u5;2016-04-29 16:24:46
3;e;u8;2016-04-30 22:57:03
2;h;u1;2016-05-01 18:32:18
3;f;u8;2016-05-02 01:33:30
4;a;u1;2016-05-02 08:38:34
3;h;u2;2016-05-02 11:06:53
4;b;u3;2016-05-06 00:50:31
4;d;u5;2016-05-06 17:56:11
6;a;u2;2016-05-08 07:01:29
5;a;u1;2016-05-09 07:17:12
5;b;u3;2016-05-10 06:29:42
5;c;u2;2016-05-11 05:04:34
6;b;u4;2016-05-12 10:39:53
4;g;u5;2016-05-13 10:34:23
4;e;u7;2016-05-13 13:56:10
6;d;u5;2016-05-14 06:07:39
4;f;u8;2016-05-14 23:42:03
6;g;u6;2016-05-15 21:34:32
4;h;u1;2016-05-17 14:02:28
6;e;u7;2016-05-18 03:47:00
6;f;u7;2016-05-18 12:54:53
7;a;u1;2016-05-18 21:19:05
6;h;u1;2016-05-20 01:23:09
7;b;u3;2016-05-21 10:50:07
8;a;u2;2016-05-21 18:49:58
8;b;u4;2016-05-22 08:57:32
7;c;u1;2016-05-22 09:40:30
8;d;u6;2016-05-23 23:04:51
8;g;u5;2016-05-25 08:31:48
8;e;u7;2016-05-28 08:43:24
9;a;u1;2016-05-29 16:46:13
8;f;u7;2016-05-29 20:11:19
9;b;u3;2016-05-30 02:05:00
9;d;u5;2016-05-31 02:34:15
10;a;u2;2016-05-31 19:59:50
8;h;u1;2016-06-01 08:27:22
9;g;u5;2016-06-03 06:04:30
